subjectROR	subjectLabel	predicate	predicateLabel	objectROR	objectLabel
02w7x5c08	Royal Surrey County Hospital	P361	part of	02wnqcb97	National Health Service
00bpta863	Leibniz-Zentrum für Literatur- und Kulturforschung	P361	part of	02pvadn84	Geisteswissenschaftliche Zentren Berlin
039fwv620	Sierra Nevada College	P361	part of	01keh0577	University of Nevada Reno
00twd4s32	Great North Museum Hancock	P361	part of	036x02d82	Tyne and Wear Archives and Museums
01a242a35	Government Logistics Department	P361	part of	034179816	Government of Hong Kong
02dde7839	Foothill-De Anza Community College District	P527	has part(s)	00dhmq281	Foothill College
045xx6g59	Time Warner (United States)	P361	part of	02bbd5539	AT&T (United States)
05bsaay65		P361	part of	02wnqcb97	National Health Service
02qsmb048	University of Belgrade	P527	has part(s)	010xv5017	
029jy7238	King Baudouin Foundation	P361	part of	02am44w88	Koning Boudewijnstichting
04zsyxa30		P361	part of	01r7awg59	University of Guelph
03tsg3y65		P361	part of	0090zs177	London School of Economics and Political Science
03kv1ct34		P361	part of	01tmp8f25	Universidad Nacional Autónoma de México
01n0k5m85	King's College Hospital NHS Foundation Trust	P361	part of	02wnqcb97	National Health Service
038hqgh39		P361	part of	02qsmb048	University of Belgrade
05fa42p74	Southend University Hospital NHS Foundation Trust	P361	part of	02wnqcb97	National Health Service
034pbpe12		P361	part of	05qj6w324	Nationale Forschungsdateninfrastruktur
01g94x362		P361	part of	04qxsrb28	Flemish Government
05az93f25	ArtEZ Institute of the Arts	P527	has part(s)	00ntmke92	Artez and Innovatie
055bn0x53	Servicio Murciano de Salud	P361	part of	026z37f85	
03ypbx660	Renji Hospital	P361	part of	0220qvk04	Shanghai Jiao Tong University
038kr2d80		P361	part of	042twtr12	Centers for Disease Control and Prevention
00v2tx290	Medisch Centrum Haaglanden	P527	has part(s)	03r781319	Bronovo Hospital
006gmme17	United States Air Force	P527	has part(s)	02fx8f125	
03pshcc38	Halton General Hospital	P361	part of	02wnqcb97	National Health Service
05g89bp20	Hospital de Clínicas da Unicamp	P361	part of	04wffgt70	Universidade Estadual de Campinas
028brk668	Hospital Infantil Universitario Niño Jesús	P361	part of	023cbtv31	Madrid Health Service
00xq2zb07	Institute of Nature Management	P361	part of	02j8pe645	National Academy of Sciences of Belarus
028mrxf52	Wrightington, Wigan and Leigh NHS Foundation Trust	P361	part of	02wnqcb97	National Health Service
01dh9vr61	Office of Naval Intelligence	P361	part of	03cs53d16	
032kmqj66	Kettering General Hospital	P361	part of	02wnqcb97	National Health Service
023yvt917		P527	has part(s)	03tdnf746	CETEMMSA Technological Centre (Spain)
01aye5y64	Gateshead Health NHS Foundation Trust	P361	part of	02wnqcb97	National Health Service
04jnprq39	University of Minnesota Medical School	P361	part of	017zqws13	University of Minnesota
03ww91346	Institute of Water Problems of the North Karelian Research Centre	P361	part of	05wgt8358	Karelian Research Centre
04d4sd432	University of Sfax	P527	has part(s)	0053fb273	
05n0xah55	Ev. Diakonissenkrankenhaus Leipzig	P361	part of	02v2egw15	Diakonie Deutschland
04rpdbq72		P361	part of	05tgxx705	Department of Science and Technology
04mq2g308	University of Applied Sciences and Arts Northwestern Switzerland	P527	has part(s)	04fawj142	
048kvyv71	Politecnico di Milano - Department of Design	P361	part of	01nffqt88	Politecnico di Milano
055wnve73	Bromyard Community Hospital	P361	part of	02wnqcb97	National Health Service
0586bt104	Southport and Ormskirk Hospital NHS Trust	P361	part of	02wnqcb97	National Health Service
0558ewf28		P361	part of	04qxsrb28	Flemish Government
02szraf30	Goethe Institut	P527	has part(s)	01mtt4z48	
04573k719	Servicio Cántabro de Salud	P361	part of	026z37f85	
04ff7hb94	Seaton Hospital	P361	part of	02wnqcb97	National Health Service
05xqpda80	Office of Ocean Exploration and Research	P361	part of	02kgve346	NOAA Oceanic and Atmospheric Research
05esnc164		P361	part of	02grkyz14	Western University
01bcjx771	Southern Astrophysical Research Telescope	P361	part of	03w6nzd18	Cerro Tololo Inter-American Observatory
04eg5s337	Mediterranean Universities Union	P527	has part(s)	02rzqza52	University Ferhat Abbas of Setif
